Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Rove idrettsanlegg;111000102;Eksisterende;Hvaler IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 45.00 ;  ;  ;115120;18385;5;6550593;272708;33
Asmaløy skole - kunstgressbane;111000407;Eksisterende;Hvaler IL;Hvaler IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;119200;12950;7;6555013;267544;33
Ballpark - Vesterøy;111003701;Nedlagt;Privat Eie;Privat Eie;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 96.00 ;Bredde 63.00 ;  ;  ;123570;8226;6;6559678;263108;33
Ballpark - Asmaløy;111003702;Nedlagt;Hvaler IL;Hvaler IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 96.00 ;Bredde 60.00 ;  ;  ;123570;8226;5;6559678;263108;33
Aremark stadion;118002001;Eksisterende;Aremark kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 68.00 ;  ;  ;137427;55977;6;6570448;311656;33
Aremark stadion;118002002;Eksisterende;Aremark kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 100.00 ;Bredde 60.00 ;  ;  ;137089;55874;5;6568561;653886;32
Ørje Stadion - Marker kunstgressbane;119000201;Eksisterende;Ørje IL;Ørje IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 64.00 ;  ;  ;164750;53300;7;6597887;310738;33
Krone stadion;119000301;Eksisterende;Rødenes IL;Rødenes IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 105.00 ;Bredde 65.00 ;  ;  ;177050;48395;6;6610477;306634;33
Marker idrettspark bommen;119003101;Eksisterende;Marker kommune;Marker kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 108.00 ;Bredde 68.00 ;  ;  ;164460;53030;6;6597615;310450;33
Marker idrettspark bommen;119003103;Eksisterende;Marker kommune;Marker kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 95.00 ;Bredde 60.00 ;  ;  ;164460;53030;5;6597615;310450;33
Rømskogbanen;121001501;Eksisterende;Rømskog IL;Rømskog IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 90.00 ;Bredde 60.00 ;  ;  ;195100;61700;6;6627632;321074;33
Trøgstad stadion;122000101;Eksisterende;Trøgstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;182550;33920;6;6616898;292543;33
Trøgstad stadion;122000102;Eksisterende;Trøgstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 55.00 ;  ;  ;182550;33920;5;6616898;292543;33
Tosebygda gressbane;122000201;Eksisterende;Trøgstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 54.00 ;  ;  ;183330;28950;6;6617996;287632;33
Båstad idrettsplass;122000301;Nedlagt;Båstad IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 96.00 ;Bredde 60.00 ;  ;  ;190490;32250;6;6624930;291387;33
Båstad idrettsplass;122000302;Nedlagt;Båstad IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 96.00 ;Bredde 60.00 ;  ;  ;190490;32250;5;6624930;291387;33
Båstad idrettsplass;122000309;Eksisterende;Trøgstad/Båstad fotballklubb;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;190550;32200;6;6624993;291341;33
Plassen gressbane;122000501;Eksisterende;Trøgstad kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 76.00 ;Bredde 58.00 ;  ;  ;183260;34540;6;6617566;293207;33
Havnås skole nærmiljøanlegg;122001303;Eksisterende;Havnås Oppvekstsenter;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 88.00 ;Bredde 68.00 ;  ;  ;180080;39280;5;6614088;297733;33
Hovin skole;123000203;Eksisterende;Spydeberg kommune;Spydeberg kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 120.00 ;Bredde 60.00 ;  ;  ;180790;20420;6;6616011;278955;33
Stegenbanen;123001901;Eksisterende;Spydeberg kommune;Spydeberg IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 60.00 ;Bredde 40.00 ;  ;  ;185700;25660;6;6620574;284501;33
Spydeberg stadion;123003001;Eksisterende;Spydeberg kommune;Spydeberg IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 106.00 ;Bredde 64.00 ;  ;  ;180230;20530;7;6615445;279029;33
Spydeberg stadion;123003003;Eksisterende;Spydeberg kommune;Spydeberg IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 98.00 ;Bredde 62.00 ;  ;  ;180235;20534;5;6615449;279033;33
Spydeberg stadion, avlastningsbane;123003004;Eksisterende;Spydeberg kommune;Spydeberg kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 95.00 ;Bredde 45.00 ;  ;  ;180235;20534;6;6615449;279033;33
Korsgård stadion;124000501;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;176868;27079;6;6607574;624077;32
Eid skole - grusbane;124000702;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 90.00 ;Bredde 50.00 ;  ;  ;177293;26008;5;6607971;622995;32
Grøtvet skole;124000802;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;176922;26001;6;6607600;622998;32
Askim videregående skole;124000902;Eksisterende;Østfold fylkeskommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 90.00 ;Bredde 54.00 ;  ;  ;175538;24951;5;6606189;621984;32
Korsgård skole;124001002;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 90.00 ;Bredde 45.00 ;  ;  ;177037;27088;5;6607743;624081;32
Gresvig;124005201;Nedlagt;Gresvig A/S;Gresvig A/S;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 103.00 ;Bredde 50.00 ;  ;  ;175642;27654;6;6606363;624683;32
Askim stadion, avlastningsbane;124005301;Nedlagt;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 106.00 ;Bredde 66.00 ;  ;  ;176649;24611;6;6607291;621616;32
Askim stadion - gress fotballbane;124005302;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 102.00 ;Bredde 56.00 ;  ;  ;176642;24779;6;6607288;621784;32
Askim stadion - kunstgressbane med under;124005305;Eksisterende;Askim kommune;Askim kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 106.00 ;Bredde 68.00 ;  ;  ;176645;24615;7;6607287;621620;32
Steinerskolen i Indre Østfold - aktivitets -og ballplass;124006602;Urealisert;Steinerskolen i Indre Østfold;Steinerskolen i Indre Østfold;Nærmiljøanlegg;Fotballanlegg;Fotball grusbane;Ja;  ;  ;  ;  ;176630;23030;5;6611690;281293;33
Dramstadåsen - ballplass;124007001;Planlagt;Askim kommune;Dramstadåsen Velforening;Nærmiljøanlegg;Fotballanlegg;Fotball ubestemt;Ja;  ;  ;  ;  ;177728;26670;;6608422;623646;32
Eidsberg banene;125000201;Eksisterende;Eidsberg IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 63.00 ;Bredde 40.00 ;  ;  ;169650;30940;6;6604215;288738;33
Eidsberg banene;125000202;Eksisterende;Eidsberg IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 60.00 ;Bredde 45.00 ;  ;  ;169650;30940;5;6604215;288738;33
Eidsberg banene;125000204;Eksisterende;Eidsberg IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 63.00 ;  ;  ;169650;30940;6;6604215;288738;33
Hærlandbanen;125000501;Eksisterende;Hærland IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 62.00 ;  ;  ;172080;41115;5;6605985;299049;33
Hærlandbanen, Ny gressbane;125000504;Eksisterende;Hærland IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 140.00 ;Bredde 75.00 ;  ;  ;172080;41115;6;6605985;299049;33
Mona fotballbane;125000901;Nedlagt;Mysen IF;;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;; 0.00 ; 0.00 ;  ;  ;175000;33800;;6609370;291937;33
Slitu idrettspark;125001101;Eksisterende;Slitu IF;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 67.00 ;  ;  ;175900;31800;6;6610397;289999;33
Slitu idrettspark grusbane;125001104;Eksisterende;Slitu IF;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;; 0.00 ; 0.00 ;  ;  ;175900;31800;5;6610397;289999;33
Trømborg banene;125001201;Eksisterende;Trømborg IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 104.00 ;Bredde 64.00 ;  ;  ;168000;36000;6;6602243;293682;33
Trømborg banene;125001202;Eksisterende;Trømborg IL;Trømborg IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 90.00 ;Bredde 58.00 ;  ;  ;168031;36498;5;6602242;294181;33
Mysen stadion;125004801;Eksisterende;Eidsberg kommune;Eidsberg kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;173200;34800;7;6607510;292819;33
Mysen stadion;125004802;Eksisterende;Eidsberg kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 107.00 ;Bredde 63.00 ;  ;  ;173200;34800;5;6607510;292819;33
Mysen stadion;125004806;Eksisterende;Eidsberg kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 107.00 ;Bredde 63.00 ;  ;  ;173200;34800;6;6607510;292819;33
Kirkelund skole;127000503;Eksisterende;Skiptvet kommune;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 72.00 ;Bredde 50.00 ;  ;  ;163780;25720;6;6598692;283151;33
