Anleggsnavn;Anleggsnr;Status;Eier;Driver;Anleggsklasse;Anleggskategori;Anleggstype;Universal utforming;Måldata 1;Måldata 2;Måldata 3;Måldata 4;NGO X koordinat;NGO Y koordinat;NGO Akse;UTM Nord;UTM Øst;UTM Sone
Skiptvet stadion;127001401;Eksisterende;Skiptvet IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 68.00 ;  ;  ;164469;25160;6;6595132;622480;32
Skiptvet stadion;127001402;Eksisterende;Skiptvet IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ikke vurdert;Lengde 96.00 ;Bredde 54.00 ;  ;  ;164922;25126;5;6595584;622434;32
Skiptvet stadion;127001403;Eksisterende;Skiptvet IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 108.00 ;Bredde 40.00 ;  ;  ;164812;25204;6;6595476;622515;32
Degernes stadion sørgård-vestg;128000101;Nedlagt;Degernes IL;Degernes IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 96.00 ;Bredde 58.00 ;  ;  ;149075;40250;6;6583082;296708;33
Rakkestad stadion - bergenhus;128000201;Eksisterende;Rakkestad kommune;Rakkestad kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 110.00 ;Bredde 66.00 ;  ;  ;157900;35675;6;6592183;292709;33
Rakkestad stadion - bergenhus;128000202;Eksisterende;Rakkestad kommune;Rakkestad kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 100.00 ;Bredde 62.00 ;  ;  ;157933;35724;7;6588873;633208;32
Rakkestad stadion - bergenhus;128000203;Eksisterende;Rakkestad IF;Rakkestad IF;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 100.00 ;Bredde 62.00 ;  ;  ;157900;35675;5;6592183;292709;33
Rakkestad stadion, Minifotballbane;128000209;Urealisert;Rakkestad IF;Rakkestad IF;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 60.00 ;Bredde 44.00 ;  ;  ;157900;35675;6;6592183;292709;33
Rakkestad stadion - hus for idrettsmateriell;128000210;Eksisterende;Rakkestad IF;Rakkestad IF;Kommuneanlegg;Fotballanlegg;Fotball ubestemt;Ikke vurdert;  ;  ;  ;  ;157900;35675;;6592183;292709;33
Østbygda stadion;128000501;Eksisterende;Østbygda IL;Østbygda IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 65.00 ;  ;  ;153015;42975;6;6586839;299680;33
Os idrettspark;128000901;Eksisterende;Rakkestad kommune;Rakkestad kommune;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Nei;Lengde 100.00 ;Bredde 60.00 ;  ;  ;160400;35625;6;6594682;292819;33
Os idrettspark;128000902;Eksisterende;Rakkestad kommune;Rakkestad kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;160441;33532;5;6591323;630952;32
Rakkestad ungdomsskole;128001102;Eksisterende;Rakkestad kommune;Rakkestad kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Nei;Lengde 70.00 ;Bredde 40.00 ;  ;  ;158825;35925;5;6593090;293018;33
Ytterskogen gressbane;128001701;Nedlagt;Rakkestad IF;Rakkestad IF;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ikke vurdert;Lengde 100.00 ;Bredde 64.00 ;  ;  ;154600;33965;6;6588999;290790;33
Kirkeng  - grusbane;128008201;Eksisterende;Degernes IL;Degernes IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 105.00 ;Bredde 65.00 ;  ;  ;151230;40180;5;6585237;296776;33
Karlshus Barneskole;135000502;Eksisterende;Råde kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 84.00 ;Bredde 54.00 ;  ;  ;150200;8450;5;6586246;265040;33
Spetalen skole;135000602;Planlagt;Råde kommune;Råde kommune;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;144400;2850;7;6580816;259077;33
Tomb jordbruks skole;135000703;Eksisterende;Norsk Luthersk Indr.Misjon;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;147050;5350;6;6583301;261743;33
Råde idrettspark;135002801;Eksisterende;Råde IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 64.00 ;  ;  ;151150;8300;6;6587204;264951;33
Råde idrettspark;135002802;Eksisterende;Råde IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 105.00 ;Bredde 65.00 ;  ;  ;151150;8300;6;6587204;264951;33
Råde idrettspark;135002803;Eksisterende;Råde IL;;Kommuneanlegg;Fotballanlegg;Fotball gressbane;;Lengde 90.00 ;Bredde 60.00 ;  ;  ;151150;8300;6;6587204;264951;33
Råde idrettspark grus;135002809;Eksisterende;Råde IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 100.00 ;Bredde 60.00 ;  ;  ;151250;8250;5;6587307;264908;33
Grusbane, lys;135002810;Urealisert;Råde IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;; 0.00 ; 0.00 ;  ;  ;0;0;5;0;0;0
Rygge idrettspark - kunstgressbane;136000201;Eksisterende;Rygge kommune;Rygge IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 105.00 ;Bredde 65.00 ;  ;  ;153538;1713;7;6583600;599330;32
Rygge idrettspark - gressbane;136000202;Eksisterende;Rygge kommune;Rygge IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 60.00 ;  ;  ;153538;1713;6;6583600;599330;32
Rygge idrettspark, Minibane;136000208;Eksisterende;Rygge IL;Rygge IL;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 60.00 ;Bredde 40.00 ;  ;  ;153538;1713;5;6583600;599330;32
Øreåsen fotballanlegg - grusbane;136000301;Eksisterende;Rygge kommune;Rygge kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 104.00 ;Bredde 62.00 ;  ;  ;157876;-1607;5;6587850;595900;32
Øreåsen fotballanlegg - grusbane;136000302;Eksisterende;Rygge kommune;Rygge kommune;Kommuneanlegg;Fotballanlegg;Fotball grusbane;Ja;Lengde 90.00 ;Bredde 63.00 ;  ;  ;157876;-1607;5;6587850;595900;32
Øreåsen fotballanlegg - 7ér kunstgressbane;136000303;Eksisterende;Rygge kommune;Øreåsen IL;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Nei;Lengde 60.00 ;Bredde 40.00 ;  ;  ;157876;-1607;7;6587850;595900;32
Ekholt - kunstgressbane;136000401;Eksisterende;Ekholt Ballklubb;Ekholt Ballklubb;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;Lengde 102.00 ;Bredde 64.00 ;  ;  ;156942;-2254;7;6586899;595277;32
Ekholt - 7èr kunstgressbane;136000402;Planlagt;Ekholt Ballklubb;Ekholt Ballklubb;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ja;  ;  ;  ;  ;172539;-342612;7;6593671;254864;32
Larkollen idrettsplass - gressbane;136000501;Eksisterende;Larkollen IL;Larkollen IL;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 55.00 ;  ;  ;148437;-2631;6;6578390;595120;32
Rygge hovedflyplass;136002401;Eksisterende;Forsvarsbygg;Forsvarsbygg;Kommuneanlegg;Fotballanlegg;Fotball gressbane;Ja;Lengde 100.00 ;Bredde 50.00 ;  ;  ;154029;3997;6;6584150;601600;32
Stigningen - grusbane;136005002;Eksisterende;Smedhusåsen Velforening;Smedhusåsen Velforening;Nærmiljøanlegg;Fotballanlegg;Fotball grusbane;Ja;  ;  ;  ;  ;154967;-1645;5;7111951;-40158;32
Våk grusbane;137000101;Eksisterende;Våler kommune;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 56.00 ;  ;  ;162600;4760;5;6598861;262153;33
Vansjø il grusbane;137000401;Eksisterende;Vansjø/Svinndal IL;;Kommuneanlegg;Fotballanlegg;Fotball grusbane;;Lengde 90.00 ;Bredde 65.00 ;  ;  ;164830;9400;5;6600789;266928;33
Kirkebygden skole kunstgressbane;137000505;Planlagt;;;Kommuneanlegg;Fotballanlegg;Fotball kunstgressbane;Ikke vurdert;  ;  ;  ;  ;165763;7976;7;6595980;605273;32
